step,block_name,auc
33,D1R1,0.69985
33,D2R0,0.71883
33,D2R1,0.75221
33,D3R0,0.77533
33,D3R1,0.77887
33,MidR0,0.77096
33,MidR1,0.78417
33,U0R0,0.76330
33,U0R1,0.77486
33,U0R2,0.73900
33,U1R0,0.75905
33,U1R1,0.77356
33,U1R2,0.72744
33,U2R0,0.78122
33,U2R1,0.79019
33,U2R2,0.78382
33,U3R0,0.75315
33,U3R1,0.76955
33,U3R2,0.79738
34,D0R0,0.67944
34,D0R1,0.73735
34,D1R0,0.75575
34,D1R1,0.70999
34,D2R0,0.72568
34,D2R1,0.74726
34,D3R0,0.77533
34,D3R1,0.77757
34,MidR0,0.77332
34,MidR1,0.78535
34,U0R0,0.75870
34,U0R1,0.77545
34,U0R2,0.74065
34,U1R0,0.75469
34,U1R1,0.76766
34,U1R2,0.72591
34,U2R0,0.77639
34,U2R1,0.78429
34,U2R2,0.78252
34,U3R0,0.74679
34,U3R1,0.76778
34,U3R2,0.79349
35,D0R0,0.68451
35,D0R1,0.74124
35,D1R0,0.76224
35,D1R1,0.71600
35,D2R0,0.73004
35,D2R1,0.74455
35,D3R0,0.77297
35,D3R1,0.77674
35,MidR0,0.77309
35,MidR1,0.78854
35,U0R0,0.75374
35,U0R1,0.77167
35,U0R2,0.74160
35,U1R0,0.75139
35,U1R1,0.76153
35,U1R2,0.72402
35,U2R0,0.76577
35,U2R1,0.77828
35,U2R2,0.78229
35,U3R0,0.74266
35,U3R1,0.76636
35,U3R2,0.79007
36,D0R0,0.68935
36,D0R1,0.74738
36,D1R0,0.76495
36,D1R1,0.72261
36,D2R0,0.73452
36,D2R1,0.74124
36,D3R0,0.77167
36,D3R1,0.77674
36,MidR0,0.77415
36,MidR1,0.78924
36,U0R0,0.74962
36,U0R1,0.76518
36,U0R2,0.74584
36,U1R0,0.74985
36,U1R1,0.75740
36,U1R2,0.72733
36,U2R0,0.75764
36,U2R1,0.77450
36,U2R2,0.78488
36,U3R0,0.73782
36,U3R1,0.76613
36,U3R2,0.78712
37,D0R0,0.69430
37,D0R1,0.75044
37,D1R0,0.76931
37,D1R1,0.72615
37,D2R0,0.73263
37,D2R1,0.73794
37,D3R0,0.76896
37,D3R1,0.77839
37,MidR0,0.77226
37,MidR1,0.78700
37,U0R0,0.74761
37,U0R1,0.76259
37,U0R2,0.75009
37,U1R0,0.75056
37,U1R1,0.75457
37,U1R2,0.72803
37,U2R0,0.75080
37,U2R1,0.76967
37,U2R2,0.78181
37,U3R0,0.73299
37,U3R1,0.76495
37,U3R2,0.78653
38,D0R0,0.69749
38,D0R1,0.75693
38,D1R0,0.77497
38,D1R1,0.72568
38,D2R0,0.72886
38,D2R1,0.72933
38,D3R0,0.76731
38,D3R1,0.77887
38,MidR0,0.77214
38,MidR1,0.78441
38,U0R0,0.74466
38,U0R1,0.75929
38,U0R2,0.75327
38,U1R0,0.75150
38,U1R1,0.75469
38,U1R2,0.72945
38,U2R0,0.74820
38,U2R1,0.76849
38,U2R2,0.78276
38,U3R0,0.73027
38,U3R1,0.76483
38,U3R2,0.78689
39,D0R0,0.69820
39,D0R1,0.76082
39,D1R0,0.77910
39,D1R1,0.72284
39,D2R0,0.72792
39,D2R1,0.72862
39,D3R0,0.76919
39,D3R1,0.78111
39,MidR0,0.76990
39,MidR1,0.78004
39,U0R0,0.74643
39,U0R1,0.75799
39,U0R2,0.75422
39,U1R0,0.75198
39,U1R1,0.75528
39,U1R2,0.73204
39,U2R0,0.74797
39,U2R1,0.76731
39,U2R2,0.78063
39,U3R0,0.72638
39,U3R1,0.76377
39,U3R2,0.78689
40,D0R0,0.70197
40,D0R1,0.76342
40,D1R0,0.77993
40,D1R1,0.71742
40,D2R0,0.72709
40,D2R1,0.72225
40,D3R0,0.76943
40,D3R1,0.78264
40,MidR0,0.77132
40,MidR1,0.77297
40,U0R0,0.74431
40,U0R1,0.75422
40,U0R2,0.75492
40,U1R0,0.75150
40,U1R1,0.75740
40,U1R2,0.73747
40,U2R0,0.74738
40,U2R1,0.76483
40,U2R2,0.77946
40,U3R0,0.72626
40,U3R1,0.76318
40,U3R2,0.78417
41,D0R0,0.70433
41,D0R1,0.76518
41,D1R0,0.77910
41,D1R1,0.71223
41,D2R0,0.72426
41,D2R1,0.71836
41,D3R0,0.77073
41,D3R1,0.78158
41,MidR0,0.77014
41,MidR1,0.76330
41,U0R0,0.73995
41,U0R1,0.74714
41,U0R2,0.75469
41,U1R0,0.75363
41,U1R1,0.75599
41,U1R2,0.74372
41,U2R0,0.74301
41,U2R1,0.76459
41,U2R2,0.78217
41,U3R0,0.72355
41,U3R1,0.75941
41,U3R2,0.77981
42,D0R0,0.71034
42,D0R1,0.76778
42,D1R0,0.77556
42,D1R1,0.70504
42,D2R0,0.72556
42,D2R1,0.71659
42,D3R0,0.77497
42,D3R1,0.77910
42,MidR0,0.76990
42,MidR1,0.75198
42,U0R0,0.73995
42,U0R1,0.74667
42,U0R2,0.75221
42,U1R0,0.75080
42,U1R1,0.75964
42,U1R2,0.75198
42,U2R0,0.74572
42,U2R1,0.76412
42,U2R2,0.78323
42,U3R0,0.72261
42,U3R1,0.75740
42,U3R2,0.77804
43,D0R0,0.71176
43,D0R1,0.76813
43,D1R0,0.77285
43,D1R1,0.70032
43,D2R0,0.72096
43,D2R1,0.71223
43,D3R0,0.77486
43,D3R1,0.77556
43,MidR0,0.76802
43,MidR1,0.74679
43,U0R0,0.74054
43,U0R1,0.74726
43,U0R2,0.75233
43,U1R0,0.75186
43,U1R1,0.75858
43,U1R2,0.75988
43,U2R0,0.74856
43,U2R1,0.76318
43,U2R2,0.78229
43,U3R0,0.72131
43,U3R1,0.75752
43,U3R2,0.77556
44,D0R0,0.71506
44,D0R1,0.76459
44,D1R0,0.76825
44,D1R1,0.69666
44,D2R0,0.71518
44,D2R1,0.71129
44,D3R0,0.77474
44,D3R1,0.76790
44,MidR0,0.76294
44,MidR1,0.73888
44,U0R0,0.74171
44,U0R1,0.74820
44,U0R2,0.74914
44,U1R0,0.74950
44,U1R1,0.75728
44,U1R2,0.76577
44,U2R0,0.75398
44,U2R1,0.76035
44,U2R2,0.77780
44,U3R0,0.72450
44,U3R1,0.75540
44,U3R2,0.77261
45,D0R0,0.71860
45,D0R1,0.75823
45,D1R0,0.76908
45,D1R1,0.68687
45,D2R0,0.71306
45,D2R1,0.70669
45,D3R0,0.77356
45,D3R1,0.76754
45,MidR0,0.75882
45,MidR1,0.73499
45,U0R0,0.74561
45,U0R1,0.74914
45,U0R2,0.74561
45,U1R0,0.75198
45,U1R1,0.75787
45,U1R2,0.77261
45,U2R0,0.75492
45,U2R1,0.75728
45,U2R2,0.77710
45,U3R0,0.72343
45,U3R1,0.75162
45,U3R2,0.76743
46,D0R0,0.72143
46,D0R1,0.74973
46,D1R0,0.77049
46,D1R1,0.68050
46,D2R0,0.71282
46,D2R1,0.70869
46,D3R0,0.76955
46,D3R1,0.76967
46,MidR0,0.75787
46,MidR1,0.73405
46,U0R0,0.75186
46,U0R1,0.75280
46,U0R2,0.74396
46,U1R0,0.75386
46,U1R1,0.76153
46,U1R2,0.77757
46,U2R0,0.75740
46,U2R1,0.75799
46,U2R2,0.77391
46,U3R0,0.72709
46,U3R1,0.74761
46,U3R2,0.76000
47,D0R0,0.72461
47,D0R1,0.74183
47,D1R0,0.76577
47,D1R1,0.67378
47,D2R0,0.70633
47,D2R1,0.70846
47,D3R0,0.77108
47,D3R1,0.77226
47,MidR0,0.75964
47,MidR1,0.74443
47,U0R0,0.75964
47,U0R1,0.75658
47,U0R2,0.73487
47,U1R0,0.75834
47,U1R1,0.76353
47,U1R2,0.77674
47,U2R0,0.76235
47,U2R1,0.75752
47,U2R2,0.77144
47,U3R0,0.72685
47,U3R1,0.74313
47,U3R2,0.75374
48,D0R0,0.72450
48,D0R1,0.72721
48,D1R0,0.76495
48,D1R1,0.67072
48,D2R0,0.70610
48,D2R1,0.71329
48,D3R0,0.77993
48,D3R1,0.77639
48,MidR0,0.76813
48,MidR1,0.75481
48,U0R0,0.76589
48,U0R1,0.75858
48,U0R2,0.73275
48,U1R0,0.77545
48,U1R1,0.76754
48,U1R2,0.77415
48,U2R0,0.76672
48,U2R1,0.76648
48,U2R2,0.76719
48,U3R0,0.72450
48,U3R1,0.74006
48,U3R2,0.74679
49,D0R0,0.72839
49,D0R1,0.71424
49,D1R0,0.75988
49,D1R1,0.67260
49,D2R0,0.70669
49,D2R1,0.71412
49,D3R0,0.79054
49,D3R1,0.78193
49,MidR0,0.77592
49,MidR1,0.76872
49,U0R0,0.77462
49,U0R1,0.76141
49,U0R2,0.73263
49,U1R0,0.79620
49,U1R1,0.77568
49,U1R2,0.77285
49,U2R0,0.77203
49,U2R1,0.77356
49,U2R2,0.76188
49,U3R0,0.72096
49,U3R1,0.73936
49,U3R2,0.73641
50,D0R0,0.72886
50,D0R1,0.71353
50,D1R0,0.73782
50,D1R1,0.68251
50,D2R0,0.72167
50,D2R1,0.68463
50,D3R0,0.80446
50,D3R1,0.77403
50,MidR0,0.77627
50,MidR1,0.78464
50,U0R0,0.78405
50,U0R1,0.78299
50,U0R2,0.75917
50,U1R0,0.80953
50,U1R1,0.80906
50,U1R2,0.79844
50,U2R0,0.77427
50,U2R1,0.79514
50,U2R2,0.77226
50,U3R0,0.72037
50,U3R1,0.75257
50,U3R2,0.74620
