step,block_name,auc
47,U1R2,0.76402
47,U2R0,0.79988
47,U2R1,0.80310
47,U2R2,0.80752
47,U3R0,0.78562
47,U3R1,0.78058
47,U3R2,0.75746
48,D0R0,0.76682
48,D0R1,0.77308
48,D1R0,0.77185
48,D1R1,0.77394
48,D2R0,0.77029
48,D2R1,0.75454
48,D3R0,0.75727
48,D3R1,0.73313
48,MidR0,0.76354
48,MidR1,0.76288
48,U0R0,0.74137
48,U0R1,0.75664
48,U0R2,0.75290
48,U1R0,0.79531
48,U1R1,0.75700
48,U1R2,0.76208
48,U2R0,0.79893
48,U2R1,0.80119
48,U2R2,0.80684
48,U3R0,0.78467
48,U3R1,0.77730
48,U3R2,0.75595
49,D0R0,0.76695
49,D0R1,0.77478
49,D1R0,0.76682
49,D1R1,0.77031
49,D2R0,0.76627
49,D2R1,0.75575
49,D3R0,0.75815
49,D3R1,0.74145
49,MidR0,0.76754
49,MidR1,0.76315
49,U0R0,0.74421
49,U0R1,0.75968
49,U0R2,0.74898
49,U1R0,0.79972
49,U1R1,0.75995
49,U1R2,0.76264
49,U2R0,0.79792
49,U2R1,0.79800
49,U2R2,0.80542
49,U3R0,0.78215
49,U3R1,0.77270
49,U3R2,0.75360
50,D0R0,0.76709
50,D0R1,0.77029
50,D1R0,0.76165
50,D1R1,0.76620
50,D2R0,0.76998
50,D2R1,0.75261
50,D3R0,0.76130
50,D3R1,0.75879
50,MidR0,0.78796
50,MidR1,0.75972
50,U0R0,0.74987
50,U0R1,0.76235
50,U0R2,0.74523
50,U1R0,0.80332
50,U1R1,0.76982
50,U1R2,0.75998
50,U2R0,0.79810
50,U2R1,0.79289
50,U2R2,0.80203
50,U3R0,0.77580
50,U3R1,0.76571
50,U3R2,0.75002
